Time,y2,y3
2022-02-21 16:31:20.115,32,32
2022-02-21 16:31:20.925,32,32
2022-02-21 16:31:21.735,32,32
2022-02-21 16:31:22.544,32,32
2022-02-21 16:31:48.982,19,19
2022-02-21 16:31:49.792,19,19
2022-02-21 16:31:50.602,19,19
2022-02-21 16:31:51.413,19,19
2022-02-21 16:31:52.223,19,19
2022-02-21 16:31:53.033,19,19
2022-02-21 16:31:53.844,19,19
2022-02-21 16:31:54.502,19,19
2022-02-21 16:31:55.175,31,31
2022-02-21 16:31:55.984,31,31
2022-02-21 16:31:56.794,31,31
2022-02-21 16:31:57.605,31,31
2022-02-21 16:31:58.415,31,31
2022-02-21 16:31:59.226,31,31
2022-02-21 16:32:00.036,19,31
2022-02-21 16:32:00.847,19,19
2022-02-21 16:32:01.657,19,19
2022-02-21 16:32:02.468,19,19
2022-02-21 16:32:03.278,19,19
2022-02-21 16:32:04.088,19,19
2022-02-21 16:32:04.899,19,19
2022-02-21 16:32:05.473,19,19
2022-02-21 16:32:06.257,12,12
2022-02-21 16:32:07.065,12,12
2022-02-21 16:32:07.876,12,12
2022-02-21 16:32:08.686,12,12
2022-02-21 16:32:09.496,12,12
2022-02-21 16:32:10.307,12,12
2022-02-21 16:32:11.140,29,31
2022-02-21 16:32:11.962,31,31
2022-02-21 16:32:12.773,31,31
2022-02-21 16:32:13.583,31,31
2022-02-21 16:32:14.393,31,31
2022-02-21 16:32:15.204,31,31
2022-02-21 16:32:16.014,31,31
2022-02-21 16:32:16.824,31,31
2022-02-21 16:32:17.634,31,31
2022-02-21 16:32:18.445,31,31
2022-02-21 16:32:19.256,31,31
2022-02-21 16:32:20.066,31,31
2022-02-21 16:32:20.877,31,31
2022-02-21 16:32:21.687,31,31
2022-02-21 16:32:22.498,31,31
2022-02-21 16:32:23.308,31,31
2022-02-21 16:32:24.118,31,31
2022-02-21 16:32:24.929,31,31
2022-02-21 16:32:25.739,31,31
2022-02-21 16:32:26.550,31,31
2022-02-21 16:32:27.361,31,31
2022-02-21 16:32:28.171,12,12
2022-02-21 16:32:28.981,12,12
2022-02-21 16:32:29.791,12,12
2022-02-21 16:32:30.602,12,12
2022-02-21 16:32:31.412,12,12
2022-02-21 16:32:32.222,12,12
2022-02-21 16:32:33.033,12,12
2022-02-21 16:32:33.843,12,12
2022-02-21 16:32:34.653,12,12
2022-02-21 16:32:35.464,12,12
2022-02-21 16:32:36.274,12,12
2022-02-21 16:32:37.084,12,12
2022-02-21 16:32:37.892,12,12
2022-02-21 16:32:45.966,12,12
2022-02-21 16:32:46.777,12,12
2022-02-21 16:32:47.587,12,12
2022-02-21 16:32:48.397,12,12
2022-02-21 16:32:49.208,12,12
2022-02-21 16:32:50.017,12,12
2022-02-21 16:32:50.825,12,12
2022-02-21 16:32:54.862,17,12
2022-02-21 16:32:55.417,19,12
2022-02-21 16:32:56.249,19,19
2022-02-21 16:32:57.059,19,19
2022-02-21 16:32:57.870,19,19
2022-02-21 16:32:58.680,19,19
2022-02-21 16:32:59.490,19,19
2022-02-21 16:33:00.301,19,19
2022-02-21 16:33:01.111,19,19
2022-02-21 16:33:01.921,19,19
2022-02-21 16:33:02.732,19,19
2022-02-21 16:33:03.542,19,19
2022-02-21 16:33:04.352,19,19
2022-02-21 16:33:05.162,31,31
2022-02-21 16:33:05.973,31,31
2022-02-21 16:33:06.783,31,31
2022-02-21 16:33:07.593,31,31
2022-02-21 16:33:08.404,31,31
2022-02-21 16:33:09.214,31,31
2022-02-21 16:33:10.025,31,31
2022-02-21 16:33:10.835,31,31
2022-02-21 16:33:11.646,31,31
